iter	Passed	Remaining
0	4	92
1	9	88
2	14	82
3	19	76
4	23	70
5	28	65
6	32	60
7	36	55
8	41	50
9	45	45
10	49	40
11	53	35
12	58	31
13	61	26
14	66	22
15	70	17
16	75	13
17	79	8
18	83	4
19	88	0
